Timestamp              | Voice Server   | Window Server  | Message
----------------------------------------------------------------------
2024-11-25 11:27:11   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:27:16   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:27:16   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:27:58   | Online       | Stopped       | Window Server monitoring stopped.
2024-11-25 11:28:01   | Stopped      | N/A           | Voice Server monitoring stopped.
2024-11-25 11:28:13   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:28:18   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:28:18   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:28:25   | Online       | Offline       | Window Server became unreachable.
2024-11-25 11:28:27   | Offline      | Offline       | Voice Server became unreachable.
2024-11-25 11:28:34   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:28:40   | Offline      | Offline       | Window Server became unreachable.
2024-11-25 11:28:40   | Online       | Offline       | Voice Server became reachable.
2024-11-25 11:28:43   | Online       | Online        | Window Server became reachable.
