Timestamp              | Voice Server   | Window Server  | Message
----------------------------------------------------------------------
2024-11-25 11:07:50   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:07:55   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:07:55   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:11:42   | Online       | Offline       | Window Server became unreachable.
2024-11-25 11:11:44   | Offline      | Offline       | Voice Server became unreachable.
2024-11-25 11:12:03   | Online       | Offline       | Voice Server became reachable.
2024-11-25 11:12:05   | Online       | Online        | Window Server became reachable.
2024-11-25 11:15:37   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:15:42   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:15:42   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:16:43   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:16:48   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:16:49   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:17:18   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:17:31   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:18:14   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:18:19   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:18:19   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:19:30   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:19:45   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:19:51   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:19:51   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:21:11   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:21:16   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:21:16   | Online       | Online        | Voice Server became reachable.
2024-11-25 11:21:28   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:21:37   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:21:47   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:22:35   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:22:45   | N/A          | N/A           | Log Section Initialized.
2024-11-25 11:22:50   | Offline      | Online        | Window Server became reachable.
2024-11-25 11:22:50   | Online       | Online        | Voice Server became reachable.
