Timestamp              | Voice Server   | Window Server   | Message
----------------------------------------------------------------------
2025-03-07 13:56:46   | Offline      | Offline      | Log Section Initialized.
2025-03-07 13:56:51   | Offline      | Online       | Window Server became reachable.
2025-03-07 13:57:44   | Offline      | Stopped      | Window Server monitoring stopped.
2025-03-07 13:57:49   | Stopped      | Stopped      | Voice Server monitoring stopped.
2025-03-07 13:58:07   | Offline      | Offline      | Log Section Initialized.
2025-03-07 13:58:11   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:02:15   | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:02:20   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:03:08   | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:03:12   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:11:43   | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:11:48   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:12:42   | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:12:46   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:13:47   | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:13:52   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:14:19   | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:14:23   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:15:12   | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:15:17   | Offline      | Online       | Window Server became reachable.
2025-03-07 14:15:21   | Stopped      | Online       | Voice Server monitoring stopped.
2025-03-07 14:15:21   | Stopped      | Stopped      | Window Server monitoring stopped.
Timestamp              | Voice Server   | Window Server   | Vg Server   | Message
----------------------------------------------------------------------
2025-03-07 14:15:21   | Offline      | Offline      | Offline      | Added a new server
2025-03-07 14:15:21   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:15:28   | Offline      | Offline      | Online       | Vg Server became reachable.
2025-03-07 14:15:28   | Offline      | Online       | Online       | Window Server became reachable.
2025-03-07 14:25:18   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:25:46   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:28:30   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:30:12   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:30:20   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:33:39   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:33:57   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:55:11   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:55:35   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:55:43   | Offline      | Offline      | Online       | Vg Server became reachable.
2025-03-07 14:55:43   | Offline      | Online       | Online       | Window Server became reachable.
2025-03-07 14:57:54   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 14:58:01   | Offline      | Offline      | Online       | Vg Server became reachable.
2025-03-07 14:58:01   | Offline      | Online       | Online       | Window Server became reachable.
2025-03-07 15:01:05   | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 15:01:12   | Offline      | Offline      | Online       | Vg Server became reachable.
2025-03-07 15:01:12   | Offline      | Online       | Online       | Window Server became reachable.
2025-03-07 15:02:15   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Log Section Initialized.
2025-03-07 15:02:23   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Offline      | B.J Bhawalpur Server became reachable.
2025-03-07 15:02:23   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Offline      | Offline      | B.J Fasilabad Server became reachable.
2025-03-07 15:02:23   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Offline      | Offline      | Cj Mainwali Server became reachable.
2025-03-07 15:02:23   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Offline      | Offline      | Cj D.G.Khan Server became reachable.
2025-03-07 15:02:23   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Cj Lhr Server became reachable.
2025-03-07 15:02:25   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Attock Server became reachable.
2025-03-07 15:02:27   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Hafizabad Server became reachable.
2025-03-07 15:02:27   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Sarghodha Server became reachable.
2025-03-07 15:02:29   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Narrowal Server became reachable.
2025-03-07 15:02:29   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Okara Server became reachable.
2025-03-07 15:02:29   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Mandibhawaldin Server became reachable.
2025-03-07 15:02:29   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Lodhara Server became reachable.
2025-03-07 15:02:29   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Shahpur Server became reachable.
2025-03-07 15:02:29   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Bhawalnaggar Server became reachable.
2025-03-07 15:02:29   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Bhakkhar Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Jhang Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Muzafarghar Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Layyah Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Rymyarkhan Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Rajanpur Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Khanewal Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Multan Server became reachable.
2025-03-07 15:02:30   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Woman Jail Server became reachable.
2025-03-07 15:02:34   | Offline      | Offline      | Offline      | Online       | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Kasur Server became reachable.
2025-03-07 15:02:34   | Offline      | Offline      | Online       | Online       | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Vehari Server became reachable.
2025-03-07 15:02:34   | Offline      | Online       | Online       | Online       | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Dj Lhr Server became reachable.
2025-03-07 15:02:34   | Online       | Online       | Online       | Online       | Offline      | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Testing Server became reachable.
2025-03-07 15:02:58   | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Online       | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Online       | Online       | Online       | Online       | Offline      | Offline      | Jehlum Server became reachable.
