Timestamp              | Testing Server   | Dj Lhr Server   | Dj Vehari Server   | Dj Kasur Server   | Gujrat Server   | Jehlum Server   | Woman Jail Server   | Dj Multan Server   | Dj Khanewal Server   | Dj Rajanpur Server   | Dj Rymyarkhan Server   | Dj Layyah Server   | Dj Muzafarghar Server   | Dj Jhang Server   | Dj Bhakkhar Server   | Dj Bhawalnaggar Server   | Dj Shahpur Server   | Dj Lodhara Server   | Dj Mandibhawaldin Server   | Dj Okara Server   | Dj Narrowal Server   | Dj Pakpattan Server   | Dj Sarghodha Server   | Dj Hafizabad Server   | Dj T.T.Singh Server   | Dj Attock Server   | Cj Rawalpindi Server   | Cj Lhr Server   | Cj D.G.Khan Server   | Cj Mainwali Server   | B.J Fasilabad Server   | B.J Bhawalpur Server   | Sub.J Shujabad Server   | Sub.J Chakwal Server   | F3Rgh Server   | Message
----------------------------------------------------------------------
2025-04-09 10:49:10   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Log Section Initialized.
2025-04-09 10:49:18   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | F3Rgh Server became reachable.
2025-04-09 10:49:20   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Online       | Sub.J Shujabad Server became reachable.
2025-04-09 10:49:22   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Online       | Offline      | Online       | B.J Fasilabad Server became reachable.
2025-04-09 10:49:24   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Cj D.G.Khan Server became reachable.
2025-04-09 10:49:26   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Cj Rawalpindi Server became reachable.
2025-04-09 10:49:26   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Dj Attock Server became reachable.
2025-04-09 10:49:26   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Dj T.T.Singh Server became reachable.
2025-04-09 10:49:26   | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Offline      | Online       | Online       | Online       | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Offline      | Online       | Dj Hafizabad Server became reachable.
